,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,t_id,user_id,t_sentiment,t_stance,t_date,t_text,hashtags
0,0,0,0,0,0,422304,790532470370340864,746776023262465920,neutral,remain,2016-10-24T12:36:42.000Z,"I thought it was fishy. I thought it was bad.Just makes me realise the left are so sad.
#BrexitForever
#Brexit
#LoveUK https://t.co/UegagLIWF0","['brexitforever', 'loveuk', 'brexit']"
73,73,73,73,73,73,958559,1007244229570187264,974019358900084736,negative,remain,2018-06-14T12:51:52.000Z,@moodyoldblue @Haggis_UK It wasn’t flawed at all. Two options and you put a cross next to one. Simples #Brexit #Brexitforever,"['brexitforever', 'brexit']"
74,74,74,74,74,74,921112,1006913437052620800,974019358900084736,neutral,leave,2018-06-13T14:57:25.000Z,@Anna_Soubry I’m sure it will be discussed. Are you perhaps reading too much into the word ‘discussed.’? #Brexit #Brexitforever,"['brexitforever', 'brexit']"
75,75,75,75,75,75,2974694,1029109785189404672,974019358900084736,positive,other,2018-08-13T20:57:47.000Z,@NickKehoe01 It is easy. We just sit back with a cuppa and wait until 11pm on 29th March :) #Brexit #Brexitforever,"['brexitforever', 'brexit']"
76,76,76,76,76,76,1279674,1010661231294865408,974019358900084736,negative,leave,2018-06-23T23:09:49.000Z,"@TheNewEuropean Dream on. We are a democracy, a vassal state of the German empire no more. We voted leave and we are LEAVING! #Brexit #Brexitforever","['brexitforever', 'brexit']"
77,77,77,77,77,77,2204298,1019913262819930112,974019358900084736,neutral,leave,2018-07-19T11:54:05.000Z,@Femi_Sorry @mediawhizz @BritishInEurope That should weed out the Federalists. They’ll have to choose. ‘Do I stay or do I go?’ #Brexit #BrexitForever,"['brexitforever', 'brexit']"
78,78,78,78,78,78,2204299,1019913262819930112,974019358900084736,neutral,leave,2018-07-19T11:54:05.000Z,@Femi_Sorry @mediawhizz @BritishInEurope That should weed out the Federalists. They’ll have to choose. ‘Do I stay or do I go?’ #Brexit #BrexitForever,"['brexitforever', 'brexit']"
79,79,79,79,79,79,2140675,1019466571956281344,974019358900084736,neutral,other,2018-07-18T06:19:06.000Z,@Anna_Soubry The pro Brexit parties achieved over 80% of the vote in the last General Election! #Brexit #Brexitforever,"['brexitforever', 'brexit']"
80,80,80,80,80,80,2967381,1029015845022953472,974019358900084736,positive,leave,2018-08-13T14:44:30.000Z,@ChukaUmunna Good. Time to train our own people. #Brexit #Brexitforever,"['brexitforever', 'brexit']"
81,81,81,81,81,81,2486584,1022809155525111808,974019358900084736,negative,leave,2018-07-27T11:41:20.000Z,@mvanhulten Time to leave with NO DEAL. #Brexit #Brexitforever,"['brexitforever', 'brexit']"
82,82,82,82,82,82,1171531,1009822026356445184,974019358900084736,negative,other,2018-06-21T15:35:07.000Z,@EU_Commission You will be punished for your crimes against the nations of Europe. #Brexit #Brexitforever,"['brexitforever', 'brexit']"
83,83,83,83,83,83,1033153,1008294135214891008,974019358900084736,negative,other,2018-06-17T10:23:49.000Z,@manonapanel @thegordonkerr @razwananwar @Ferretgrove Churchill said we are not absorbed by Europe and furthermore . . .  #Brexit #Brexitforever https://t.co/qdw02kRgUg,"['brexitforever', 'brexit']"
84,84,84,84,84,84,2136153,1019361035898236928,974019358900084736,neutral,other,2018-07-17T23:19:44.000Z,@Femi_Sorry We joined the Common Market on a lie. #Brexit #Brexitforever,"['brexitforever', 'brexit']"
85,85,85,85,85,85,3706423,1039062871739715584,974019358900084736,negative,other,2018-09-10T08:07:48.000Z,"@campbellclaret @LiamFox We can’t make trade deals until we leave, moron. #Brexit #Brexitforever","['brexitforever', 'brexit']"
86,86,86,86,86,86,2229601,1020289367418470400,974019358900084736,positive,leave,2018-07-20T12:48:35.000Z,"@InnogenLamb @overnunder @fergs01 @ChukaUmunna @GMB Even if true, a temporary blip of a price worth paying. We knew that when we voted Leave. You can’t keep giving accountants answers to questions of sovereignty. #Brexit #Brexitforever","['brexitforever', 'brexit']"
87,87,87,87,87,87,2485720,1022804545313878016,974019358900084736,neutral,leave,2018-07-27T11:23:01.000Z,@Heidi_LDN @politicshome Were talks between the EU and Turkey about membership underway at the time? Has the door to membership been closed? #Brexit #Brexitforever,"['brexitforever', 'brexit']"
88,88,88,88,88,88,2232081,1020397043444076544,974019358900084736,negative,remain,2018-07-20T19:56:27.000Z,@thomasbrake @ChrisPhilpMP Get over it. Federalism is dying. You spent loads more than us and STILL lost! #Brexit #Brexitforever https://t.co/UBNPYaqR6j,"['brexitforever', 'brexit']"
89,89,89,89,89,89,4039065,1042750269367508992,974019358900084736,negative,other,2018-09-20T12:20:12.000Z,"@stevenphillips7 @DavidLammy There is no need for the Remain option because we’ve already decided to Leave, confirmed in a subsequent General Election in which the Leave supporting Parties obtained 80% of the vote. The question now is Leave with a Deal or Leave with no Deal. #Brexit #Brexitforever","['brexitforever', 'brexit']"
90,90,90,90,90,90,1115334,1009162466935431168,974019358900084736,negative,other,2018-06-19T19:54:16.000Z,"@thomasbrake @Anna_Soubry Shocking displays of European Federalism. You will be defeated, as all enemies of this island are ultimately defeated. #Brexit #Brexitforever","['brexitforever', 'brexit']"
91,91,91,91,91,91,2601976,1024048228101173248,974019358900084736,negative,leave,2018-07-30T21:44:58.000Z,Absolutely right. Fibbing federalist scumbag Remainers. #Brexit #Brexitforever https://t.co/zmibuCyfwj,"['brexitforever', 'brexit']"
92,92,92,92,92,92,938442,1007035539713937408,974019358900084736,neutral,other,2018-06-13T23:02:37.000Z,@joelymack 17.4million do actually #Brexit #Brexitforever,"['brexitforever', 'brexit']"
