,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,t_id,user_id,t_sentiment,t_stance,t_date,t_text,hashtags
168,168,168,2190155,1019841047348772864,2924280006,neutral,leave,2018-07-19T07:07:08.000Z,"@YvetteCooperMP @nmckay958 That's probably because @theresa_may hasn't got a clue either. If she had any common decency, she would knock Brexit on the head, but I expect anything ""common"" is beneath her grasp. #ToryBrexitShambles",['torybrexitshambles']
169,169,169,2807530,1026584418004086784,42679913,negative,leave,2018-08-06T21:42:52.000Z,"@DKShrewsbury The EU has given me rights that the UK has often failed to provide or enforce, and now wants to deprive me of. Anyway, ""MY country"" didn't vote for Brexit, but is being dragged out of the EU by Westminster ideologues who simply want to profit from the chaos. #ToryBrexitShambles",['torybrexitshambles']
170,170,170,4748339,1049663562543718400,392546979,negative,remain,2018-10-09T14:11:09.000Z,"Brexit: Hammond's 'no risk' stance caused problems, says David Davis

No shock that ⁦@DavidDavisMP⁩ is blaming someone else. You’ll never find a Tory MP taking responsibility for their own failings.
#ToryBrexitShambles https://t.co/VIlu43KkD9",['torybrexitshambles']
171,171,171,2195925,1019868223439810560,42679913,positive,other,2018-07-19T08:55:07.000Z,"@D_Raval Oh dear, those devilish details again. Why can anyone provide the details of what Brexit really looks like? #ToryBrexitShambles",['torybrexitshambles']
172,172,172,2932728,1028404021097361408,42679913,negative,other,2018-08-11T22:13:20.000Z,"@Hepworthclare The Tory party has been ""torn apart"" for YEARS, Brexit is merely a symptom (but a very painful one). If we DO leave the EU they'll carry on fighting over something else. Far right English nationalist free market ideologues versus old style Tories. #ToryBrexitShambles",['torybrexitshambles']
173,173,173,1266393,1010578783152336896,42679913,negative,remain,2018-06-23T17:42:12.000Z,@Jack_Slater @patrickseurre Visiting Palestinians - you might remember there was a bit of a fuss all over the world about them recently. He hasn't forgotten - and Labour's Brexit policy isn't made by the leader but by the party. This Brexit rock has Tory written right through it. #ToryBrexitShambles,['torybrexitshambles']
174,174,174,1902416,1017359643482513408,2241270623,neutral,other,2018-07-12T10:46:55.000Z,"Labour takes lead in the polls as Theresa May prepares to publish Brexit white paper 
#ToryBrexitShambles https://t.co/XuLPz4r9yz",['torybrexitshambles']
175,175,175,1696238,1015673102498521088,31252613,negative,leave,2018-07-07T19:05:12.000Z,"Yep ‘worst of all worlds Black Hole Brexit’ sounds about right

If this is how the only people left standing who still actually want it describe Brexit surely it’s time to call the whole thing off

#torybrexitshambles https://t.co/4LZOI6Ltyk",['torybrexitshambles']
176,176,176,1900441,1017342260239888384,42679913,neutral,other,2018-07-12T09:37:50.000Z,Here's one for next weeks PMQs (or any other casual Brexit-related chat). How will NI get electricity on HardBrexitDay +1? https://t.co/JOnjqLGANB #ToryBrexitShambles And that's before we even begin to think about French electric or imported gas for rest of UK.,['torybrexitshambles']
177,177,177,881533,1006563689141501952,2175936243,neutral,other,2018-06-12T15:47:39.000Z,"@Conservatives After today in parliament I don't think @Conservatives are in any position to lecture anybody on Brexit.
#ToryBrexitShambles",['torybrexitshambles']
178,178,178,4426452,1045944422708498432,3883364079,positive,other,2018-09-29T07:52:37.000Z,"@LordCFalconer There is some disunity in the LP about Brexit, but they don’t carry the absurd amount of baggage that the Tories do - they have reach the point where, due to their infighting, it is now impossible for them to agree on anything. #ToryBrexitShambles",['torybrexitshambles']
179,179,179,3266802,1032914047254052864,392546979,negative,other,2018-08-24T08:54:34.000Z,"Brexit: Conservative anger at Philip Hammond's 'dodgy project fear'

As soon as someone talks about the risks of Brexit a leaver immediately slams us down as ‘project fear’ but cannot offer any facts to counter the concerns.
#ToryBrexitShambles https://t.co/z2fof5RsVK",['torybrexitshambles']
180,180,180,1902415,1017359643482513408,2241270623,neutral,other,2018-07-12T10:46:55.000Z,"Labour takes lead in the polls as Theresa May prepares to publish Brexit white paper 
#ToryBrexitShambles https://t.co/XuLPz4r9yz",['torybrexitshambles']
181,181,181,3586044,1037252707575365632,31252613,positive,other,2018-09-05T08:14:51.000Z,"LATEST Brexit poll: Remain 59% Leave 41% ￼👏

By March 2019 the only people still in favour of a #ToryBrexitShambles dogs dinner will be the Ukip rump of about 10%...",['torybrexitshambles']
182,182,182,3586043,1037252707575365632,31252613,positive,other,2018-09-05T08:14:51.000Z,"LATEST Brexit poll: Remain 59% Leave 41% ￼👏

By March 2019 the only people still in favour of a #ToryBrexitShambles dogs dinner will be the Ukip rump of about 10%...",['torybrexitshambles']
183,183,183,1680090,1015510345975246848,389516094,neutral,other,2018-07-07T08:18:28.000Z,@BlogRedRobin @SamCoatesTimes Ah but Brexit means Brexit so it means Brexit but then again it might not  #ToryBrexitShambles,['torybrexitshambles']
